location_mentioned,latitude,model_confidence,longitude,original_text,uri,author,indexed_at,help_request,disaster_type,severity_level,processed_at
Massachusetts,,0.95,,"Tucked away in the attic of a Massachusetts home was not one, not two — but 22 pieces of stolen Japanese antiques, including a hand-drawn map, ceramics and portraits of Okinawan kings, some dating back as far as the 1700's.",at://did:plc:ln72v57ivz2g46uqf4xxqiuh/app.bsky.feed.post/3knvz65n3so2n,npr.org,2024-03-17 18:55:17.865+00,false,not_relevant,low,2025-10-29 02:26:00.98+00
"Gaza, Al-Shifa Hospital",,0.92,,"The largest medical facility in Gaza, Al-Shifa Hospital, was the site of a raid by the Israeli military early Monday morning, with reports of gunshots, a fire breaking out on the complex and an unknown number of people injured and potentially killed.",at://did:plc:ln72v57ivz2g46uqf4xxqiuh/app.bsky.feed.post/3knydphn7n52e,npr.org,2024-03-18 17:09:15.576+00,false,fire,high,2025-10-29 02:27:01.674+00
Moscow,55.7558,0.95,37.6176,"Russian news agencies report between two and five gunmen killed at least 10 people at a concert venue on the outskirts of Moscow Friday. A fire has broken out on the premises, endangering more lives, with flames visible from miles away.",at://did:plc:ln72v57ivz2g46uqf4xxqiuh/app.bsky.feed.post/3kocnaybw4g2k,npr.org,2024-03-22 19:26:44.575+00,false,shooting,high,2025-10-29 02:39:01.288+00
"Parkland, Fla.",29.9509,0.95,-81.4776,"Vice President Harris on Saturday is set to make a push for greater use of red flag laws when she visits Parkland, Fla., where one of the deadliest school shootings on record in the United States happened in 2018.",at://did:plc:ln72v57ivz2g46uqf4xxqiuh/app.bsky.feed.post/3koer7x6knb2i,npr.org,2024-03-23 15:43:04.261+00,false,shooting,high,2025-10-29 02:43:00.557+00
Moscow,55.7558,0.95,37.6176,"The death toll from a mass shooting at a concert hall on the outskirts of Moscow Friday evening has risen to at least 133 people, as emergency responders continued to clear away the rubble. At least another 145 others were reported injured.",at://did:plc:ln72v57ivz2g46uqf4xxqiuh/app.bsky.feed.post/3koetf2ftkt23,npr.org,2024-03-23 16:21:43.078+00,false,shooting,high,2025-10-29 02:43:01.525+00
Baltimore,39.2904,0.95,-76.6122,"Part of a bridge in Baltimore collapsed early Tuesday after a container ship crashed into it, sending cars and people into the water in what authorities are calling a ""developing mass casualty event."" Follow along for live updates: n.pr/4aakjma",at://did:plc:ln72v57ivz2g46uqf4xxqiuh/app.bsky.feed.post/3kolzxbww6b2q,npr.org,2024-03-26 13:07:55.585+00,false,auto_accident,high,2025-10-29 02:51:01.27+00
Gaza,31.5,0.92,34.4667,"Women who are pregnant or who have recently given birth in Gaza face serious challenges amid daily airstrikes, continued ground fighting, high rates of disease and a growing lack of food and water.",at://did:plc:ln72v57ivz2g46uqf4xxqiuh/app.bsky.feed.post/3korsrvmlnt22,npr.org,2024-03-28 20:15:37.033+00,false,other_disaster,high,2025-10-29 02:55:01.147+00
Baltimore,39.2904,0.85,-76.6122,"The deadly Francis Scott Key Bridge collapse blocked off much of Baltimore's harbor, which handles more cars and trucks than any other U.S. port. Companies have some options to keep imports coming.",at://did:plc:ln72v57ivz2g46uqf4xxqiuh/app.bsky.feed.post/3korv6zculm2a,npr.org,2024-03-28 20:58:44.379+00,false,other_disaster,high,2025-10-29 02:56:00.959+00
Asian island,,0.85,,"Yet, the day after what was the worst quake to hit the Asian island in a quarter century, most residents cannot stop talking about how much worse it could have been.",at://did:plc:ln72v57ivz2g46uqf4xxqiuh/app.bsky.feed.post/3kpd2ml63xr27,npr.org,2024-04-04 16:51:03.887+00,false,earthquake,high,2025-10-29 02:59:01.041+00
New York City and North Jersey,40.7128,0.95,-74.006,A brief earthquake rattled the New York City and North Jersey area just before 10:30 a.m. Friday.,at://did:plc:ln72v57ivz2g46uqf4xxqiuh/app.bsky.feed.post/3kpfg4mtuwb2r,npr.org,2024-04-05 15:22:13.238+00,false,earthquake,low,2025-10-29 03:03:00.668+00
path of totality,,0.75,,"Rain, thunderstorms and gray skies over large swaths of the path of totality are threatening to block views on April 8. Here's how to make the most of the rare event.",at://did:plc:ln72v57ivz2g46uqf4xxqiuh/app.bsky.feed.post/3kpi3b7s2ok23,npr.org,2024-04-06 16:45:55.298+00,false,severe_storm,medium,2025-10-29 03:05:01.563+00
Gaza City,,0.92,,"Photos and survivors' testimony gathered by NPR in Gaza City reveal a battle that destroyed nearly every corner of Al-Shifa, as well as the neighborhoods and homes around it — now heaps of twisted metal, debris and ashes from fires that were set alight.",at://did:plc:ln72v57ivz2g46uqf4xxqiuh/app.bsky.feed.post/3kpi4ujvq232f,npr.org,2024-04-06 17:14:36.89+00,false,other_disaster,high,2025-10-29 03:05:02.424+00
"Burlington, Vt.",44.4769,0.92,-73.2114,"UPDATE: Authorities have arrested a man in connection with a fire that broke out at Sen. Bernie Sanders' office in Burlington, Vt., on Friday, damaging the building but leaving occupants unharmed.",at://did:plc:ln72v57ivz2g46uqf4xxqiuh/app.bsky.feed.post/3kpkwekdoyp22,npr.org,2024-04-07 19:56:17.247+00,false,fire,medium,2025-10-29 03:07:01.147+00
Sudan,12.8611,0.92,32.0667,"Since fighting broke out between the Sudanese Armed Forces and rebel paramilitaries a year ago, experts estimate over 14,000 people have been killed and millions displaced and facing starvation.",at://did:plc:ln72v57ivz2g46uqf4xxqiuh/app.bsky.feed.post/3kq6rg2gg6r2q,npr.org,2024-04-15 17:20:53.759+00,false,other_disaster,high,2025-10-29 03:16:01.108+00
West Africa,,0.85,,"The recent deadly heat in West Africa is driven by human activities, including the burning of fossil fuels, particularly in the wealthy Northern Hemisphere, according to an international report.",at://did:plc:ln72v57ivz2g46uqf4xxqiuh/app.bsky.feed.post/3kqgc4mq2zp2i,npr.org,2024-04-18 17:08:29.137+00,false,extreme_heat,high,2025-10-29 03:20:00.994+00
UCLA,34.0689,0.85,-118.4452,Violence erupted at UCLA on Tuesday night after pro-Israel demonstrators attempted to forcibly dismantle an encampment of dozens of tents set up by pro-Palestinian protesters.,at://did:plc:ln72v57ivz2g46uqf4xxqiuh/app.bsky.feed.post/3krgxilswyk2x,npr.org,2024-05-01 16:56:11.379+00,false,shooting,high,2025-10-29 03:32:01.293+00
Sonoma County,,0.85,,"Robert Hernandez, 38, is accused of igniting five fires on forest land in Sonoma County while off duty since August. The fires burned less than an acre of wildland combined, officials said, “due to quick actions of residents and fire suppression resources.”",at://did:plc:ln72v57ivz2g46uqf4xxqiuh/app.bsky.feed.post/3l4ouj5vazj22,npr.org,2024-09-21 20:01:14.869+00,false,fire,low,2025-10-29 05:21:00.446+00
Georgia,32.1659,0.95,-82.9001,"Helene entered Georgia as a Category 2 hurricane early Friday morning, bringing wind gusts as high as 100 mph and leaving streets and waterways flooded, nearly 1 million people without power and 11 people dead — including one first responder.",at://did:plc:ln72v57ivz2g46uqf4xxqiuh/app.bsky.feed.post/3l55ywcobak22,npr.org,2024-09-27 20:30:06.743+00,false,hurricane,high,2025-10-29 05:31:00.585+00
Florida,,0.95,,"Hurricane Milton weakened to a still-powerful Category 1 hurricane as it moved across the Florida peninsula overnight, putting millions of homes and businesses in the dark and without power.",at://did:plc:ln72v57ivz2g46uqf4xxqiuh/app.bsky.feed.post/3l66dmn3oli2r,npr.org,2024-10-10 17:06:45.364+00,false,hurricane,high,2025-10-29 05:57:00.524+00
30 miles from land,,0.9,,"""We couldn't believe it, honestly, that he was OK,"" a pilot said as he described finding a man who spent the night of Hurricane Milton's landfall 30 miles from land.",at://did:plc:ln72v57ivz2g46uqf4xxqiuh/app.bsky.feed.post/3l6bexbm3ki22,npr.org,2024-10-11 22:08:35.14+00,false,hurricane,high,2025-10-29 06:03:00.612+00
Lewiston,44.5624,0.95,-70.4508,"Eighteen chairs, each holding a bouquet of white flowers, lined the stage of the Lewiston Colisee Friday night for an event to mark the first anniversary of the Lewiston mass shooting.",at://did:plc:ln72v57ivz2g46uqf4xxqiuh/app.bsky.feed.post/3l7gsrq6euz2y,npr.org,2024-10-26 19:24:31.59+00,false,shooting,high,2025-10-29 06:31:00.656+00
Munich,48.1371,0.95,11.5754,"Director Tim Fehlbaum's new film September 5 is centered on how the 1972 Munich Olympics massacre changed the way media outlets cover major global stories, especially those involving acts of terror.",at://did:plc:ln72v57ivz2g46uqf4xxqiuh/app.bsky.feed.post/3ldbntjwdus2t,npr.org,2024-12-14 15:53:32.954+00,false,shooting,high,2025-10-29 08:33:00.628+00
hotel,,0.95,,"A Tesla truck caught fire and exploded outside the hotel on Wednesday morning, authorities say. One person died inside the vehicle, while seven who were nearby received minor injuries.",at://did:plc:ln72v57ivz2g46uqf4xxqiuh/app.bsky.feed.post/3lepjnqzyyk2f,npr.org,2025-01-01 21:41:12.754+00,false,auto_accident,high,2025-10-29 10:05:01.243+00
Las Vegas,36.1699,0.95,-115.1398,Update: Las Vegas Metropolitan Police Sheriff Kevin McMahill says Livelsberger sustained a gunshot wound to the head prior to the Cybertuck detonating; investigators believe it was self inflicted.,at://did:plc:ln72v57ivz2g46uqf4xxqiuh/app.bsky.feed.post/3lerwhu64b22r,npr.org,2025-01-02 20:35:52.851+00,false,shooting,high,2025-10-29 10:09:00.572+00
Los Angeles,34.0522,0.92,-118.2437,"Here's what we know so far about the patchwork of wildfires blazing across Los Angeles. Keep reading for more information, and check back throughout the day for updates.",at://did:plc:ln72v57ivz2g46uqf4xxqiuh/app.bsky.feed.post/3lfd6m67qo22f,npr.org,2025-01-09 17:16:43.048+00,false,other_disaster,high,2025-10-29 10:47:00.536+00
Los Angeles,34.0522,0.85,-118.2437,"Jeff Okrepkie urges Los Angeles residents to lean on each other, as he did when the 2017 Tubbs Fire burned down his home. via @kqednews.bsky.social",at://did:plc:ln72v57ivz2g46uqf4xxqiuh/app.bsky.feed.post/3lfiezqc2522f,npr.org,2025-01-11 18:54:59.958+00,false,fire,high,2025-10-29 11:07:00.57+00
LA,34.0522,0.92,-118.2437,"In response to the devastating fires raging in LA, a small restaurant in Surf City USA has become a channel for big help — from locals to people across the country — to support their neighbors up north.",at://did:plc:ln72v57ivz2g46uqf4xxqiuh/app.bsky.feed.post/3lfin6ih25k2o,npr.org,2025-01-11 21:20:50.658+00,false,fire,high,2025-10-29 11:09:00.714+00
Los Angeles,34.0522,0.85,-118.2437,Gov. Gavin Newsom's invitation says people deserve to see them work together on LA fires. Experts: Donald Trump has the power to slow aid. via @calmatters.org,at://did:plc:ln72v57ivz2g46uqf4xxqiuh/app.bsky.feed.post/3lfku64ry5s2k,npr.org,2025-01-12 18:31:13.254+00,false,fire,medium,2025-10-29 11:17:00.504+00
California,36.7783,0.92,-121.4936,These photos chronicle the catastrophic scale of destruction from wildfires in California that started on January 7.,at://did:plc:ln72v57ivz2g46uqf4xxqiuh/app.bsky.feed.post/3lfna57qcjk2h,npr.org,2025-01-13 17:10:46.858+00,false,fire,high,2025-10-29 11:27:00.722+00
"California, Los Angeles region",34.0522,0.92,-118.2437,California's insurance industry was already in crisis. Now the wildfires in the Los Angeles region may upend efforts to stabilize the market.,at://did:plc:ln72v57ivz2g46uqf4xxqiuh/app.bsky.feed.post/3lfplrqicgs22,npr.org,2025-01-14 15:44:26.261+00,false,fire,high,2025-10-29 11:37:01.18+00
Los Angeles,34.0522,0.85,-118.2437,Influencers and politicians are spreading false narratives about water and the L.A. wildfires. These include the idea that farm moguls took firefighting water and an empty reservoir is part of a plot.,at://did:plc:ln72v57ivz2g46uqf4xxqiuh/app.bsky.feed.post/3lfsipdw6is2q,npr.org,2025-01-15 19:27:23.754+00,false,fire,medium,2025-10-29 11:53:01.73+00
the Rockies eastward,,0.75,,"Bundle up and prepare: People living ""basically anywhere from the Rockies eastward"" will see extremely cold temperatures over the next several days, a meteorologist says.",at://did:plc:ln72v57ivz2g46uqf4xxqiuh/app.bsky.feed.post/3lfxfccwg5c2d,npr.org,2025-01-17 18:09:44.059+00,false,extreme_heat,medium,2025-10-29 12:19:01.287+00
Metro Nashville,36.1627,0.95,-86.7711,Metro Nashville Police Department says the shooting took place in the school’s cafeteria. Officers says a 17-year boy shot two female students and then himself. via @wpln.bsky.social,at://did:plc:ln72v57ivz2g46uqf4xxqiuh/app.bsky.feed.post/3lgeb7ymqpc26,npr.org,2025-01-22 21:01:28.25+00,false,shooting,high,2025-10-29 13:17:00.516+00
Los Angeles,34.0522,0.92,-118.2437,President Trump and others are spreading false narratives about water and the LA wildfires. These include the notion that the city didn't have enough water to fight the fires.,at://did:plc:ln72v57ivz2g46uqf4xxqiuh/app.bsky.feed.post/3lgjf5mjyhk2o,npr.org,2025-01-24 21:55:01.66+00,false,fire,high,2025-10-29 13:41:00.492+00
"Altadena, Calif.",34.2136,0.92,-118.2851,"Many residents in Altadena, Calif., evacuated not knowing it would be the last time they would see their homes standing. Their decisions about what possessions to take were rushed — or not made at all.",at://did:plc:ln72v57ivz2g46uqf4xxqiuh/app.bsky.feed.post/3lglnouz5k22d,npr.org,2025-01-25 19:33:10.755+00,false,fire,high,2025-10-29 13:51:01.481+00
Ronald Reagan Washington National Airport,39.1143,0.92,-77.5314,"A regional jet carrying 64 people collided in midair with a Black Hawk helicopter as the plane was approaching a runway at Ronald Reagan Washington National Airport on Wednesday night, according to federal aviation officials.

Here's what we know:",at://did:plc:ln72v57ivz2g46uqf4xxqiuh/app.bsky.feed.post/3lgxfunzgwk2v,npr.org,2025-01-30 11:45:10.852+00,false,other_disaster,high,2025-10-29 14:39:00.566+00
Pacific Palisades,34.0333,0.95,-118.476,"The Pacific Palisades and surrounding areas will reopen after the Palisades Fire tore through nearly 40 square miles of homes, commercial areas and wilderness – more than three weeks after the fire started in early January. Both the Palisades and Eaton fires are now 100% contained.
via @laist.com",at://did:plc:ln72v57ivz2g46uqf4xxqiuh/app.bsky.feed.post/3lh5i6fl7cc2t,npr.org,2025-02-01 21:42:24.364+00,false,fire,high,2025-10-29 15:03:00.606+00
Los Angeles,34.0522,0.85,-118.2437,"After thousands of homes were destroyed, many are looking for ways to make Los Angeles safer from wildfires. But clearing dense shrubs on the hillsides could actually make the fire danger worse.",at://did:plc:ln72v57ivz2g46uqf4xxqiuh/app.bsky.feed.post/3lhwckgnw722q,npr.org,2025-02-11 18:38:19.051+00,false,other_disaster,high,2025-10-29 16:25:01.814+00
"Kansas, Missouri",,0.75,,"A high-pressure system is pushing Arctic air into the central U.S. this week. 

Much of the country will experience plunging temperatures, while states such as Kansas and Missouri could see heavy snow.",at://did:plc:ln72v57ivz2g46uqf4xxqiuh/app.bsky.feed.post/3liff546lec2q,npr.org,2025-02-17 18:34:22.757+00,false,extreme_heat,medium,2025-10-29 17:23:00.698+00
Los Angeles,34.0522,0.92,-118.2437,"We’re lifting permitting requirements, speeding rebuilding, and helping survivors recover from the LA firestorms.

My office will ensure that red tape and bureaucracy will not hinder the quick recovery of these incredible communities. www.gov.ca.gov/2025/01/24/h...",at://did:plc:mojhr33bx3rw4dxxpehd32qz/app.bsky.feed.post/3lgobkxqa6c2d,governor.ca.gov,2025-01-26 20:34:12.556+00,false,fire,high,2025-10-29 14:01:00.518+00
,,0.85,,"Last week, DFS hosted a 2-day Active Shooter / Hostile Event Response training with MPTC and ALERRT Center. About 30 police and fire personnel took part in classroom lectures and integrated response scenarios to #StopTheKilling and #StopTheDying. Great work by instructors and students!",at://did:plc:mskbjatmqfrfqbxicxqo47ok/app.bsky.feed.post/3lgg2fvuzjc2u,massdfs.bsky.social,2025-01-23 14:04:56.758+00,false,shooting,medium,2025-10-29 13:21:00.486+00
