type,success_count,error_count,total_time_ms,avg_classification_time_ms,posts_per_minute,batch_size,efficiency,timestamp,level,uri,error,attempts,disaster_type,classification_time,model_confidence,help_request,action,total_todo,queue_fetched,already_processed
classification_result,,,,,,,,1970-01-21 09:31:24.301103,info,at://did:plc:ln72v57ivz2g46uqf4xxqiuh/app.bsky.feed.post/3l6g5xlqa5i2n,,,not_relevant,232.0,0.95,False,deleted_not_relevant,,,
classification_result,,,,,,,,1970-01-21 09:31:24.302824,info,at://did:plc:ln72v57ivz2g46uqf4xxqiuh/app.bsky.feed.post/3l6g42vqoyt2f,,,not_relevant,190.0,0.95,False,deleted_not_relevant,,,
classification_result,,,,,,,,1970-01-21 09:31:24.304548,info,at://did:plc:ln72v57ivz2g46uqf4xxqiuh/app.bsky.feed.post/3l6g2kfq3si22,,,not_relevant,192.0,0.95,False,deleted_not_relevant,,,
classification_result,,,,,,,,1970-01-21 09:31:24.306264,info,at://did:plc:ln72v57ivz2g46uqf4xxqiuh/app.bsky.feed.post/3l6fzou4mxk2v,,,not_relevant,178.0,0.95,False,deleted_not_relevant,,,
classification_result,,,,,,,,1970-01-21 09:31:24.307971,info,at://did:plc:ln72v57ivz2g46uqf4xxqiuh/app.bsky.feed.post/3l6g35gm4ig2l,,,not_relevant,178.0,0.95,False,deleted_not_relevant,,,
classification_result,,,,,,,,1970-01-21 09:31:24.309825,info,at://did:plc:ln72v57ivz2g46uqf4xxqiuh/app.bsky.feed.post/3l6g7y5qg6i23,,,severe_storm,287.0,0.85,False,processed,,,
worker_summary,6.0,0.0,9581.0,210.0,37.57,6.0,100.0%,1970-01-21 09:31:24.309826,info,,,,,,,,,,,
worker_start,,,,,,6.0,,1970-01-21 09:31:24.601934,info,,,,,,,,,,,
processing_start,,,,,,,,1970-01-21 09:31:24.602260,info,,,,,,,,,6.0,6.0,0.0
classification_result,,,,,,,,1970-01-21 09:31:24.602908,info,at://did:plc:ln72v57ivz2g46uqf4xxqiuh/app.bsky.feed.post/3l6icrultzm2x,,,not_relevant,604.0,0.95,False,deleted_not_relevant,,,
classification_result,,,,,,,,1970-01-21 09:31:24.604642,info,at://did:plc:ln72v57ivz2g46uqf4xxqiuh/app.bsky.feed.post/3l6ibegtn3a24,,,not_relevant,182.0,0.95,False,deleted_not_relevant,,,
classification_result,,,,,,,,1970-01-21 09:31:24.606383,info,at://did:plc:ln72v57ivz2g46uqf4xxqiuh/app.bsky.feed.post/3l6gicjq5uj2y,,,shooting,190.0,0.92,False,processed,,,
classification_result,,,,,,,,1970-01-21 09:31:24.608101,info,at://did:plc:ln72v57ivz2g46uqf4xxqiuh/app.bsky.feed.post/3l6ggcgyjmn2f,,,not_relevant,189.0,0.95,False,deleted_not_relevant,,,
classification_result,,,,,,,,1970-01-21 09:31:24.609816,info,at://did:plc:ln72v57ivz2g46uqf4xxqiuh/app.bsky.feed.post/3l6i7o43nff23,,,not_relevant,188.0,0.95,False,deleted_not_relevant,,,
classification_result,,,,,,,,1970-01-21 09:31:24.611548,info,at://did:plc:ln72v57ivz2g46uqf4xxqiuh/app.bsky.feed.post/3l6iduc6coe2x,,,not_relevant,183.0,0.95,False,deleted_not_relevant,,,
worker_summary,6.0,0.0,9617.0,256.0,37.43,6.0,100.0%,1970-01-21 09:31:24.611548,info,,,,,,,,,,,
worker_start,,,,,,6.0,,1970-01-21 09:31:24.900167,info,,,,,,,,,,,
processing_start,,,,,,,,1970-01-21 09:31:24.900592,info,,,,,,,,,6.0,6.0,0.0
classification_result,,,,,,,,1970-01-21 09:31:24.900900,info,at://did:plc:ln72v57ivz2g46uqf4xxqiuh/app.bsky.feed.post/3l6imscrjem2x,,,not_relevant,210.0,0.95,False,deleted_not_relevant,,,
classification_result,,,,,,,,1970-01-21 09:31:24.902666,info,at://did:plc:ln72v57ivz2g46uqf4xxqiuh/app.bsky.feed.post/3l6iklhxeca24,,,not_relevant,198.0,0.95,False,deleted_not_relevant,,,
classification_result,,,,,,,,1970-01-21 09:31:24.904465,info,at://did:plc:ln72v57ivz2g46uqf4xxqiuh/app.bsky.feed.post/3l6igd4g35f2t,,,not_relevant,195.0,0.95,False,deleted_not_relevant,,,
classification_result,,,,,,,,1970-01-21 09:31:24.906204,info,at://did:plc:ln72v57ivz2g46uqf4xxqiuh/app.bsky.feed.post/3l6ifpq6vt62m,,,not_relevant,205.0,0.95,False,deleted_not_relevant,,,
classification_result,,,,,,,,1970-01-21 09:31:24.908034,info,at://did:plc:ln72v57ivz2g46uqf4xxqiuh/app.bsky.feed.post/3l6iheodtms2f,,,hurricane,266.0,0.85,False,processed,,,
classification_result,,,,,,,,1970-01-21 09:31:24.909828,info,at://did:plc:ln72v57ivz2g46uqf4xxqiuh/app.bsky.feed.post/3l6iot2vvif2n,,,not_relevant,252.0,0.95,False,deleted_not_relevant,,,
worker_summary,6.0,0.0,9661.0,221.0,37.26,6.0,100.0%,1970-01-21 09:31:24.909828,info,,,,,,,,,,,
worker_start,,,,,,6.0,,1970-01-21 09:31:25.200362,info,,,,,,,,,,,
processing_start,,,,,,,,1970-01-21 09:31:25.200503,info,,,,,,,,,6.0,6.0,0.0
classification_result,,,,,,,,1970-01-21 09:31:25.200883,info,at://did:plc:z72i7hdynmk6r22z27h6tvur/app.bsky.feed.post/3l6ovgyi7ah2t,,,not_relevant,318.0,0.95,False,deleted_not_relevant,,,
classification_result,,,,,,,,1970-01-21 09:31:25.202609,info,at://did:plc:z72i7hdynmk6r22z27h6tvur/app.bsky.feed.post/3l6ovfftinx2m,,,not_relevant,194.0,0.95,False,deleted_not_relevant,,,
classification_result,,,,,,,,1970-01-21 09:31:25.202609,info,at://did:plc:z72i7hdynmk6r22z27h6tvur/app.bsky.feed.post/3l6ovfftinx2m,,,not_relevant,194.0,0.95,False,deleted_not_relevant,,,
classification_result,,,,,,,,1970-01-21 09:31:25.204366,info,at://did:plc:z72i7hdynmk6r22z27h6tvur/app.bsky.feed.post/3l6osufhx4b2g,,,not_relevant,217.0,0.95,False,deleted_not_relevant,,,
classification_result,,,,,,,,1970-01-21 09:31:25.206119,info,at://did:plc:ln72v57ivz2g46uqf4xxqiuh/app.bsky.feed.post/3l6izprnlk52m,,,not_relevant,219.0,0.95,False,deleted_not_relevant,,,
classification_result,,,,,,,,1970-01-21 09:31:25.207840,info,at://did:plc:z72i7hdynmk6r22z27h6tvur/app.bsky.feed.post/3l6oveex3ii2l,,,not_relevant,190.0,0.95,False,deleted_not_relevant,,,
classification_result,,,,,,,,1970-01-21 09:31:25.209582,info,at://did:plc:z72i7hdynmk6r22z27h6tvur/app.bsky.feed.post/3l6ovj7mtzv2o,,,not_relevant,203.0,0.95,False,deleted_not_relevant,,,
worker_summary,6.0,0.0,9221.0,224.0,39.04,6.0,100.0%,1970-01-21 09:31:25.209582,info,,,,,,,,,,,
worker_start,,,,,,6.0,,1970-01-21 09:31:25.500858,info,,,,,,,,,,,
processing_start,,,,,,,,1970-01-21 09:31:25.501903,info,,,,,,,,,6.0,6.0,0.0
classification_result,,,,,,,,1970-01-21 09:31:25.502232,info,at://did:plc:z72i7hdynmk6r22z27h6tvur/app.bsky.feed.post/3l6ovsdood32z,,,not_relevant,283.0,0.95,False,deleted_not_relevant,,,
classification_result,,,,,,,,1970-01-21 09:31:25.503952,info,at://did:plc:ln72v57ivz2g46uqf4xxqiuh/app.bsky.feed.post/3l6pxpbtjbf2o,,,not_relevant,184.0,0.95,False,deleted_not_relevant,,,
classification_result,,,,,,,,1970-01-21 09:31:25.505680,info,at://did:plc:ln72v57ivz2g46uqf4xxqiuh/app.bsky.feed.post/3l6psxuu4no2p,,,not_relevant,191.0,0.95,False,deleted_not_relevant,,,
classification_result,,,,,,,,1970-01-21 09:31:25.507457,info,at://did:plc:ln72v57ivz2g46uqf4xxqiuh/app.bsky.feed.post/3l6pr7lrfqa22,,,not_relevant,226.0,0.95,False,deleted_not_relevant,,,
classification_result,,,,,,,,1970-01-21 09:31:25.509203,info,at://did:plc:ln72v57ivz2g46uqf4xxqiuh/app.bsky.feed.post/3l6pwg5qnpj2y,,,not_relevant,185.0,0.95,False,deleted_not_relevant,,,
classification_result,,,,,,,,1970-01-21 09:31:25.510961,info,at://did:plc:z72i7hdynmk6r22z27h6tvur/app.bsky.feed.post/3l6ovv5maiy2o,,,not_relevant,218.0,0.95,False,deleted_not_relevant,,,
worker_summary,6.0,0.0,10104.0,215.0,35.63,6.0,100.0%,1970-01-21 09:31:25.510961,info,,,,,,,,,,,
worker_start,,,,,,6.0,,1970-01-21 09:31:25.800635,info,,,,,,,,,,,
processing_start,,,,,,,,1970-01-21 09:31:25.800985,info,,,,,,,,,6.0,6.0,0.0
classification_result,,,,,,,,1970-01-21 09:31:25.801375,info,at://did:plc:ln72v57ivz2g46uqf4xxqiuh/app.bsky.feed.post/3l6q7hwsxli24,,,not_relevant,329.0,0.95,False,deleted_not_relevant,,,
classification_result,,,,,,,,1970-01-21 09:31:25.803212,info,at://did:plc:ln72v57ivz2g46uqf4xxqiuh/app.bsky.feed.post/3l6q64np3br24,,,not_relevant,300.0,0.95,False,deleted_not_relevant,,,
classification_result,,,,,,,,1970-01-21 09:31:25.804947,info,at://did:plc:ln72v57ivz2g46uqf4xxqiuh/app.bsky.feed.post/3l6q2ocjw2v24,,,not_relevant,203.0,0.85,False,deleted_not_relevant,,,
classification_result,,,,,,,,1970-01-21 09:31:25.806710,info,at://did:plc:ln72v57ivz2g46uqf4xxqiuh/app.bsky.feed.post/3l6pzhvvjvt24,,,not_relevant,230.0,0.95,False,deleted_not_relevant,,,
classification_result,,,,,,,,1970-01-21 09:31:25.808453,info,at://did:plc:ln72v57ivz2g46uqf4xxqiuh/app.bsky.feed.post/3l6q3rzsxgv2q,,,not_relevant,198.0,0.95,False,deleted_not_relevant,,,
classification_result,,,,,,,,1970-01-21 09:31:25.810180,info,at://did:plc:ln72v57ivz2g46uqf4xxqiuh/app.bsky.feed.post/3l6qbxv5ljw24,,,not_relevant,193.0,0.95,False,deleted_not_relevant,,,
worker_summary,6.0,0.0,9545.0,242.0,37.72,6.0,100.0%,1970-01-21 09:31:25.810180,info,,,,,,,,,,,
worker_start,,,,,,6.0,,1970-01-21 09:31:26.101128,info,,,,,,,,,,,
processing_start,,,,,,,,1970-01-21 09:31:26.101839,info,,,,,,,,,6.0,6.0,0.0
classification_result,,,,,,,,1970-01-21 09:31:26.102107,info,at://did:plc:ln72v57ivz2g46uqf4xxqiuh/app.bsky.feed.post/3l6qipkxpcd2p,,,not_relevant,230.0,0.95,False,deleted_not_relevant,,,
classification_result,,,,,,,,1970-01-21 09:31:26.103802,info,at://did:plc:ln72v57ivz2g46uqf4xxqiuh/app.bsky.feed.post/3l6qikpqeta2v,,,not_relevant,164.0,0.95,False,deleted_not_relevant,,,
classification_result,,,,,,,,1970-01-21 09:31:26.105538,info,at://did:plc:ln72v57ivz2g46uqf4xxqiuh/app.bsky.feed.post/3l6qgawetuh24,,,not_relevant,202.0,0.95,False,deleted_not_relevant,,,
classification_result,,,,,,,,1970-01-21 09:31:26.107239,info,at://did:plc:ln72v57ivz2g46uqf4xxqiuh/app.bsky.feed.post/3l6qfskjuei2e,,,not_relevant,172.0,0.95,False,deleted_not_relevant,,,
classification_result,,,,,,,,1970-01-21 09:31:26.109043,info,at://did:plc:ln72v57ivz2g46uqf4xxqiuh/app.bsky.feed.post/3l6qhevc7z22y,,,hurricane,241.0,0.92,False,processed,,,
worker_summary,6.0,0.0,9628.0,197.0,37.39,6.0,100.0%,1970-01-21 09:31:26.110756,info,,,,,,,,,,,
classification_result,,,,,,,,1970-01-21 09:31:26.110756,info,at://did:plc:ln72v57ivz2g46uqf4xxqiuh/app.bsky.feed.post/3l6qjkjragm2x,,,not_relevant,173.0,0.95,False,deleted_not_relevant,,,
worker_start,,,,,,6.0,,1970-01-21 09:31:26.400268,info,,,,,,,,,,,
processing_start,,,,,,,,1970-01-21 09:31:26.400558,info,,,,,,,,,6.0,6.0,0.0
classification_result,,,,,,,,1970-01-21 09:31:26.401192,info,at://did:plc:ln72v57ivz2g46uqf4xxqiuh/app.bsky.feed.post/3l6smbqiahe2j,,,not_relevant,427.0,0.95,False,deleted_not_relevant,,,
classification_result,,,,,,,,1970-01-21 09:31:26.404084,info,at://did:plc:ln72v57ivz2g46uqf4xxqiuh/app.bsky.feed.post/3l6sjusvo2y2j,,,not_relevant,719.0,0.85,False,deleted_not_relevant,,,
classification_result,,,,,,,,1970-01-21 09:31:26.405809,info,at://did:plc:ln72v57ivz2g46uqf4xxqiuh/app.bsky.feed.post/3l6sgjetuwy2j,,,not_relevant,178.0,0.95,False,deleted_not_relevant,,,
classification_result,,,,,,,,1970-01-21 09:31:26.407526,info,at://did:plc:ln72v57ivz2g46uqf4xxqiuh/app.bsky.feed.post/3l6sfa26hrz2o,,,not_relevant,190.0,0.95,False,deleted_not_relevant,,,
classification_result,,,,,,,,1970-01-21 09:31:26.409350,info,at://did:plc:ln72v57ivz2g46uqf4xxqiuh/app.bsky.feed.post/3l6si5z3qni2q,,,not_relevant,241.0,0.95,False,deleted_not_relevant,,,
classification_result,,,,,,,,1970-01-21 09:31:26.411097,info,at://did:plc:z72i7hdynmk6r22z27h6tvur/app.bsky.feed.post/3l6sjdebqbx2q,,,not_relevant,193.0,0.95,False,deleted_not_relevant,,,
worker_summary,6.0,0.0,10829.0,325.0,33.24,6.0,100.0%,1970-01-21 09:31:26.411098,info,,,,,,,,,,,
worker_start,,,,,,6.0,,1970-01-21 09:31:26.701039,info,,,,,,,,,,,
processing_start,,,,,,,,1970-01-21 09:31:26.701657,info,,,,,,,,,6.0,6.0,0.0
classification_result,,,,,,,,1970-01-21 09:31:26.702031,info,at://did:plc:ln72v57ivz2g46uqf4xxqiuh/app.bsky.feed.post/3l6swskncz62f,,,not_relevant,329.0,0.95,False,deleted_not_relevant,,,
classification_result,,,,,,,,1970-01-21 09:31:26.703723,info,at://did:plc:ln72v57ivz2g46uqf4xxqiuh/app.bsky.feed.post/3l6svzqjazd2y,,,not_relevant,158.0,0.95,False,deleted_not_relevant,,,
